B1,B2,B3,B4,B5,B6,Sector
-69,-90,-88,-79,-66,-69,6
-71,-84,-88,-62,-68,-67,6
-82,-82,-88,-101,-75,-76,6
-83,-91,-86,-101,-78,-76,6
-73,-83,-82,-62,-73,-75,6
-74,-90,-83,-72,-66,-75,6
-75,-78,-83,-75,-68,-65,6
-75,-90,-82,-86,-67,-69,6
-68,-90,-87,-84,-86,-66,6
-69,-77,-83,-73,-68,-74,6
-69,-86,-80,-77,-68,-75,6
-82,-78,-80,-62,-68,-75,6
-82,-77,-84,-62,-72,-76,6
-81,-75,-77,-100,-72,-69,6
-82,-86,-76,-101,-70,-70,6
-75,-87,-78,-62,-65,-74,6
-75,-93,-85,-72,-82,-74,6
-72,-80,-86,-72,-72,-70,6
-72,-80,-86,-71,-64,-73,6
-73,-88,-86,-94,-68,-73,6
-78,-90,-83,-89,-67,-81,6
-79,-80,-83,-66,-67,-79,6
-86,-92,-83,-65,-76,-70,6
-77,-81,-80,-62,-76,-74,6
-69,-90,-80,-78,-76,-74,6
-76,-80,-80,-74,-76,-74,6
-74,-92,-81,-82,-76,-69,6
-74,-84,-81,-78,-80,-69,6
-76,-74,-80,-102,-76,-68,6
-71,-84,-77,-62,-77,-79,6
-67,-73,-78,-62,-80,-79,6
-82,-75,-78,-62,-67,-78,6
-83,-84,-78,-70,-72,-74,6
-84,-78,-78,-73,-74,-70,6
-69,-86,-78,-65,-69,-76,6
-71,-88,-81,-65,-70,-71,6
-72,-77,-88,-65,-68,-63,6
-72,-88,-88,-79,-69,-65,6
-72,-77,-89,-68,-81,-64,6
-70,-83,-88,-66,-87,-68,6
-70,-94,-78,-62,-86,-67,6
-70,-94,-78,-80,-67,-67,6
-70,-86,-78,-73,-67,-63,6
-84,-96,-78,-71,-67,-100,6
-85,-86,-80,-70,-81,-63,6
-88,-96,-80,-60,-82,-67,6
-85,-85,-80,-97,-67,-67,6
-68,-88,-80,-96,-68,-67,6
-80,-78,-78,-60,-67,-66,6
-69,-83,-76,-99,-67,-67,6
-67,-73,-84,-60,-68,-65,6
-69,-73,-87,-95,-68,-62,6
-74,-71,-79,-97,-67,-98,6
-72,-82,-79,-61,-68,-62,6
-72,-72,-81,-76,-68,-62,6
-73,-87,-81,-76,-67,-66,6
-83,-77,-80,-75,-76,-66,6
-89,-89,-78,-59,-79,-98,6
-85,-76,-77,-97,-78,-64,6
-69,-89,-78,-60,-77,-64,6
-70,-78,-78,-96,-69,-64,6
-69,-89,-78,-98,-70,-63,6
-69,-78,-78,-100,-72,-64,6
-80,-78,-79,-99,-72,-63,6
-82,-76,-84,-98,-73,-64,6
-92,-74,-87,-63,-66,-64,6
-67,-82,-88,-98,-66,-64,6
-67,-72,-88,-59,-68,-71,6
-67,-82,-88,-97,-75,-68,6
-66,-72,-88,-59,-78,-90,6
-69,-82,-88,-95,-73,-70,6
-69,-71,-88,-61,-66,-68,6
-68,-82,-85,-100,-68,-64,6
-69,-82,-86,-62,-67,-78,6
-68,-89,-85,-72,-84,-67,6
-67,-82,-84,-75,-65,-67,6
-67,-83,-85,-86,-65,-63,6
-83,-83,-84,-84,-63,-100,6
-73,-85,-80,-73,-65,-63,6
-74,-97,-80,-77,-67,-68,6
-75,-86,-80,-62,-62,-69,6
-75,-96,-80,-62,-65,-70,6
-68,-86,-80,-100,-65,-70,6
-69,-86,-80,-97,-67,-68,6
-69,-90,-80,-96,-77,-75,6
-82,-76,-86,-60,-78,-71,6
-82,-89,-83,-99,-72,-71,6
-81,-84,-73,-60,-70,-72,6
-82,-70,-73,-95,-71,-69,6
-75,-68,-72,-97,-65,-66,6
-75,-78,-73,-61,-69,-67,6
-72,-69,-85,-76,-63,-70,6
-68,-80,-79,-76,-68,-70,6
-68,-80,-84,-84,-62,-69,6
-67,-69,-78,-85,-70,-67,6
-67,-80,-81,-100,-68,-64,6
-72,-92,-71,-68,-68,-73,7
-78,-92,-68,-72,-67,-63,7
-77,-74,-70,-71,-67,-101,7
-76,-86,-68,-70,-68,-63,7
-78,-76,-69,-69,-69,-100,7
-79,-85,-68,-70,-68,-63,7
-80,-76,-69,-69,-68,-69,7
-77,-78,-76,-69,-67,-70,7
-77,-88,-76,-78,-64,-70,7
-76,-88,-76,-77,-64,-76,7
-80,-94,-76,-84,-100,-73,7
-80,-82,-78,-72,-64,-69,7
-79,-92,-76,-72,-65,-68,7
-80,-81,-71,-70,-67,-71,7
-75,-89,-73,-83,-67,-71,7
-75,-81,-72,-86,-68,-67,7
-74,-95,-72,-69,-69,-66,7
-78,-86,-72,-68,-72,-67,7
-80,-90,-68,-67,-66,-71,7
